ID;?-lactamines;aminosides;quinolones;cyclines;sulfamides;fosfomycine;Type;Country
120_AMX_CDR;1;0;1;0;1;0;2;sortieSTEP
123_AMX_CDR;1;0;1;0;1;1;3;sortieSTEP
126_AMX_CDR;1;0;1;0;1;0;1;sortieSTEP
129_AMX_CDR;1;0;0;0;0;0;1;800m
132_AMX_CDR;1;0;0;0;0;1;2;800m
135_AMX_CDR;1;0;1;0;0;1;3;800m
138_AMX_CDR;1;0;0;0;1;1;1;embouchure
141_AMX_CDR;1;0;1;0;1;0;2;embouchure
144_AMX_CDR;0;0;0;0;0;0;3;embouchure
153_AMX_MAE;0;0;0;0;0;0;1;contrôle
156_AMX_MAE;0;0;0;0;0;0;2;contrôle
159_AMX_MAE;1;0;1;1;1;0;3;contrôle
