ID;var1;var2;var3;var4;var5;var6;var7;var8;var9;var10;var11;var12;Type;Location
Bact1;2;3;3;4;2;4;2;2;3;3;3;3;BLSE;China
Bact2;2;4;3;4;2;4;2;2;3;3;3;3;BLSE;India
Bact3;3;3;3;4;3;4;4;2;4;4;3;3;C3GR;Bulgaria
Bact4;2;2;2;2;2;3;1;1;4;1;2;2;MDR;Canada
Bact5;2;3;3;4;2;4;2;2;3;3;3;3;BLSE;Japan
Bact6;3;3;3;4;3;4;3;2;4;4;3;3;C3GR;Albania
Bact7;3;3;3;4;3;4;3;2;4;4;3;3;C3GR;Romania
Bact8;3;3;3;4;3;4;3;2;4;4;3;1;C3GR;Greece
Bact9;3;3;3;4;3;4;3;2;4;4;3;2;C3GR;Albania
Bact10;2;3;3;4;2;4;2;2;3;3;3;3;Sensitive;China
Bact11;2;3;3;4;2;4;2;2;3;3;3;3;Sensitive;China
